"id","Comm_tbl_IssueBoard_ID","IssuingBoardName","DateCreated"
111,DD4434A2-5553-4911-9086-BEFEECBE1872,AMERICAN PODIATRIC MEDICAL SPEACIALTY BOARD,2003-03-31 12:28:18.000
77,B857C09C-528B-4DE9-8C27-C163693F0CAF,AOA - Emergency Medicine,2001-07-14 15:03:35.000
946,"9E24AA29-71DC-43F1-A998-C1BDCEE19D0F",ABPM American Board of Podiatric Medicine,2021-02-01 10:54:01.670
109,"70ED87FA-D77C-4EA6-9B6E-C24C93D5902C",ABPS - American Board of Podiatric Surgery,2003-02-05 10:28:19.000
899,"7189BD93-9340-4F18-8910-C463BD62C83F",American Board of Urology,2010-07-14 18:07:27.600
896,"60F581AD-A9E6-48A6-85B1-C681601B727D",American Board of Surgery/General-Vascular Surg,2010-07-14 18:07:27.600
104,FF944449-18CD-469B-A78D-C81C8411D506,ABPS - Podiatric Surgery,2001-07-14 15:03:35.000
53,A888BEE5-A92E-455C-A468-CAA37E4CB669,ABMS - Dermatology,2001-07-14 15:03:35.000
50,CB8759DD-92DC-40D0-A7AE-CB57FB6CB472,ABMS - Allergy & Immunology,2001-07-14 15:03:35.000
62,ECEE61FD-3B04-44BE-ACFB-CE1E8B92A601,ABMS - Orthopaedic Surgery,2001-07-14 15:03:35.000
58,"2BCEC062-D147-468A-AC3A-CEDF1EE8348B",ABMS - Neurological Surgery,2001-07-14 15:03:35.000
875,"34E88527-67FE-48D3-90E8-CEE75C9D7B7C",American Board of Pathology/Anatomic & Clinical,2010-07-14 18:07:27.600
862,"3D5F81D3-74C3-4EC4-872B-CF0270463249",American Board of IM/Medical Oncology,2010-07-14 18:07:27.600
210,"9DE4D5FB-1B10-43CD-B71B-D0485396BEC1",APMA - Podiatric Surgery,2005-06-11 13:39:30.420
84,EF3933C1-00EB-448C-952D-D341BB65CA9A,AOA - Ophthamology and Otorhinolaryngology,2001-07-14 15:03:35.000
865,E8CE0A0F-D11B-454F-9436-D3AE43066EDD,American Board of IM/Critical Care Medicine,2010-07-14 18:07:27.600
116,"5889059F-3EF1-4268-B672-D474AFAFA049",ABMS- INFECTOUS DISEASE,2003-05-22 12:02:06.000
874,DE53F91B-108B-42A7-9D76-D72CA3F17B5B,American Board of Orthopaedic Surgery/Hand Surgery,2010-07-14 18:07:27.600
79,BC2267C6-04A5-4731-BBB2-DA40CAD1F06E,AOA - Internal Medicine,2001-07-14 15:03:35.000
215,C6684A06-E4B1-481A-9D42-DB97DEBAA97C,ABBM - Bariatric Medicine ,2007-10-25 10:32:17.390
935,"629C35EB-84EA-4068-A302-DC80484B59C8",RADO,2010-07-14 18:07:27.600
113,B3610904-8CC1-40F0-8FE4-DE7DC331233D,ABMS-PULMONARY CRITICAL CARE,2003-05-21 11:31:55.000
938,"4892AE97-3551-4F3D-8B9A-DE7F5CE32638",ABMS - Internal Medicine/Geriatric Medicine,2012-04-26 06:37:20.780
122,C0EE44C7-A751-4322-A96D-DFD00F9B664E,AAPS-FAMILY PRACTICE,2003-06-16 09:44:59.000
869,"0B8E7A7C-B0E5-4AAD-BF46-E23721E17875",American Board of Obstetrics/Gynecology - GYN Onc,2010-07-14 18:07:27.600
911,"99E4B671-B612-4916-9510-E275B12D28CF",American Osteopathic Board of Ophthalmology,2010-07-14 18:07:27.600
905,FFE311FE-936B-4E51-8CD0-E4CC71AC7A89,American Osteopathic Board of Family Physicians,2010-07-14 18:07:27.600
941,C25A104C-E8CE-4C65-ACDC-E69B2CD9164C,National Board of Surgical Technology and Surgical,2015-07-20 08:40:58.913
118,"9EC21F36-8FB3-4F69-9118-EA5AAE818F0C",ABMS- NEONATOLOGY,2003-05-27 11:47:40.000
105,B6AA89B8-9C63-46E9-A8A8-ECFBA74F95E2,Other American Boards,2001-07-14 15:03:35.000
931,"7B8DD5FE-1C89-4CAA-82E8-ED4B20D39634",PHYS,2010-07-14 18:07:27.600
917,"2198A359-9682-492C-BC3B-EF0A5453518D",Council on Recertification of Nurse Anesthetists,2010-07-14 18:07:27.600
859,F5FD1268-4814-4AF9-8021-EFAB6CC7B5CF,American Board of IM/Cardiovascular Disease,2010-07-14 18:07:27.600
919,"73CC0406-12DD-412E-ADC7-F0EF3FA106A9",EAMO,2010-07-14 18:07:27.600
937,DC3459D2-2C47-4B12-A735-F55DCF6E646D,THOR,2010-07-14 18:07:27.600
69,F7A978DB-B61D-40A0-AB27-F5B211A3EE04,ABMS - Psychiatry & Neurology,2001-07-14 15:03:35.000
71,"79AF0372-9579-4231-ACAC-F5E274A2507D",ABMS - Surgery,2001-07-14 15:03:35.000
115,D70F98D4-4D7D-4AE7-8353-F783BF701023,ANCC-FAMILY PRACTICE NURSE,2003-05-22 11:30:01.000
83,F1EEA04B-52D9-42E5-AAB6-F9E43E5B0D08,AOA - Obstetrics & Gynecology,2001-07-14 15:03:35.000
48,"40A63936-BD54-4E87-8CC1-F9FE7BBA6276","",2001-04-26 16:53:44.000
212,B0D4019C-0500-4A35-B514-FD4739BE44B4,Other - National Board of Medical Examiners,2005-06-11 13:39:30.420
895,AE24BD0C-80C3-4AA9-B2D4-FD8AEB850383,American Board of Surgery/Surgical Critical Care,2010-07-14 18:07:27.600
883,"5B903639-B86B-41F5-8D5E-FED0AEA1221B",American Board of Psychiatry/Neurology-Neurology,2010-07-14 18:07:27.600
